entry_id,sense_id,ex_id,example_alt_raw,example_alt_norm,example_ru,source_note,raw_line
17,1,3,"Оныҥ тӧрӧӧндӧри коркышту кудайзак улус болгон ине. Олорго jÿрбей барарда, ке- рек там аайланган","оныҥ тӧрӧӧндӧри коркышту кудайзак улус болгон ине. олорго jÿрбей барарда, ке- рек там аайланган","Его родственники были ведь очень религиозны- ми. Когда перестал к ним ходить, дело нала- дилось ещё лучше",С. Суразаков,"Оныҥ тӧрӧӧндӧри коркышту кудайзак улус болгон ине. Олорго jÿрбей барарда, ке- рек там аайланган (С. Суразаков) Его родственники были ведь очень религиозны- ми. Когда перестал к ним ходить, дело нала- дилось ещё лучше"
19,2,1,"Койыҥ артып калза, олор бойына кожуп алар. Оноҥ олорло аайлажып кӧр","койыҥ артып калза, олор бойына кожуп алар. оноҥ олорло аайлажып кӧр","Если твоя овца отстанет, они присо- единят её к своим овцам (букв. к себе). Потом попробуй с ними разобраться",Д. Ка- инчин,"Койыҥ артып калза, олор бойына кожуп алар. Оноҥ олорло аайлажып кӧр (Д. Ка- инчин) Если твоя овца отстанет, они присо- единят её к своим овцам (букв. к себе). Потом попробуй с ними разобраться"
20,4,1,"[Борбок-Кара] јаҥыс ла меҥдеп, штаныныҥ сырканчактарын аай- лаштырып болбой, бирӱзине кийип, оноҥ ойто бирӱзине кийип шыралайт","[борбок-кара] јаҥыс ла меҥдеп, штаныныҥ сырканчактарын аай- лаштырып болбой, бирӱзине кийип, оноҥ ойто бирӱзине кийип шыралайт","[Борбок-Кара] только спеша, не разби- рая штанины, мучается, надевая то одну, то другую",Б. Ука- чин,"[Борбок-Кара] јаҥыс ла меҥдеп, штаныныҥ сырканчактарын аай- лаштырып болбой, бирӱзине кийип, оноҥ ойто бирӱзине кийип шыралайт (Б. Ука- чин) [Борбок-Кара] только спеша, не разби- рая штанины, мучается, надевая то одну, то другую"
23,5,1,"Кызы, Jергелей кожо болгон болзо, айылдыҥ да ичи аайлу-башту болор эди","кызы, jергелей кожо болгон болзо, айылдыҥ да ичи аайлу-башту болор эди","Если бы дочь, Дьергелей, была вместе, ведь и в доме было бы хорошо",Л. Кокышев,"Кызы, Jергелей кожо болгон болзо, айылдыҥ да ичи аайлу-башту болор эди (Л. Кокышев) Если бы дочь, Дьергелей, была вместе, ведь и в доме было бы хорошо"
25,1,1,"…Кам бойы корыккан бойынча, jаман ÿниле кыйгырып, аактап берерде, кӧк бука корколо, там тыҥыда маҥтап берген","…кам бойы корыккан бойынча, jаман ÿниле кыйгырып, аактап берерде, кӧк бука корколо, там тыҥыда маҥтап берген","…Когда шаман, испугашись, крича нехорошим голосом, за- ахал, сивый бык с перепугу ещё быстрее стал убегать",Из сказки,"…Кам бойы корыккан бойынча, jаман ÿниле кыйгырып, аактап берерде, кӧк бука корколо, там тыҥыда маҥтап берген (Из сказки) …Когда шаман, испугашись, крича нехорошим голосом, за- ахал, сивый бык с перепугу ещё быстрее стал убегать"
26,1,1,"Аакы бойыныҥ керектӱзин, бескелӱзин база јарт билер","аакы бойыныҥ керектӱзин, бескелӱзин база јарт билер","Старший брат ясно знает о своей значимости, весомости",Д. Каинчин,"Аакы бойыныҥ керектӱзин, бескелӱзин база јарт билер (Д. Каинчин) Старший брат ясно знает о своей значимости, весомости"
28,1,1,Jаҥыс ла айландыра тайгалар араай аалап-оолоп jадыры,jаҥыс ла айландыра тайгалар араай аалап-оолоп jадыры,И только вокруг тайга тихо акает,К. Телесов,Jаҥыс ла айландыра тайгалар араай аалап-оолоп jадыры (К. Телесов) И только вокруг тайга тихо акает
30,2,1,Оныҥ jӱзинде алаҥзуныҥ кандый да аалга кӧлӧткӧзи элбес эдип калды,оныҥ jӱзинде алаҥзуныҥ кандый да аалга кӧлӧткӧзи элбес эдип калды,"На её лице промелькнула какая-то скрытая лары кöп, агаш-тажы кара jыш... (К. Теле- сов) …Э-ээй, мужики, уединённых мест Ал- тая много, леса и горы дремучие…",Б. Укачин,"Оныҥ jӱзинде алаҥзуныҥ кандый да аалга кӧлӧткӧзи элбес эдип калды (Б. Укачин) На её лице промелькнула какая-то скрытая лары кöп, агаш-тажы кара jыш... (К. Теле- сов) …Э-ээй, мужики, уединённых мест Ал- тая много, леса и горы дремучие…"
31,1,1,"Кöп унчукпас, улустаҥ чала аалгаланып jӱрер кижи","кöп унчукпас, улустаҥ чала аалгаланып jӱрер кижи","Немногословный, немного обособляющийся от людей человек",Д. Каинчин,"Кöп унчукпас, улустаҥ чала аалгаланып jӱрер кижи (Д. Каинчин) Немногословный, немного обособляющийся от людей человек"
33,1,1,Айгÿн шымыранды: «Аамайзып турган немеҥ не!»,айгÿн шымыранды: аамайзып турган немеҥ не!,Айгюн прошептал: «Что ты придуриваешь- ся!»,С. Манитов,Айгÿн шымыранды: «Аамайзып турган немеҥ не!» (С. Манитов) Айгюн прошептал: «Что ты придуриваешь- ся!»
35,1,1,"«Кары- ган сайын там ла аамайтып туру ба бу?» — деп, Кӱjeй jepгe тӱкӱреле, ары кӧрди","кары- ган сайын там ла аамайтып туру ба бу? — деп, кӱjeй jepгe тӱкӱреле, ары кӧрди","Сказав: «С возрастом этот всё больше тупеет что ли?», Кюдей, сплюнув на землю, отвернулась",Э. Палкин,"«Кары- ган сайын там ла аамайтып туру ба бу?» — деп, Кӱjeй jepгe тӱкӱреле, ары кӧрди (Э. Палкин) Сказав: «С возрастом этот всё больше тупеет что ли?», Кюдей, сплюнув на землю, отвернулась"
37,1,1,"Je ол тушта бис аар-калап кӱчтӱ эки бука- га тӱҥей эмес, jӱк ле эки пӧтӱгешке тӱҥей болгоныс","je ол тушта бис аар-калап кӱчтӱ эки бука- га тӱҥей эмес, jӱк ле эки пӧтӱгешке тӱҥей болгоныс","Но тогда мы были по- хожи не на двух ужасающе сильных быков, а всего лишь были похожи на двух петушков",Б. Укачин,"Je ол тушта бис аар-калап кӱчтӱ эки бука- га тӱҥей эмес, jӱк ле эки пӧтӱгешке тӱҥей болгоныс (Б. Укачин) Но тогда мы были по- хожи не на двух ужасающе сильных быков, а всего лишь были похожи на двух петушков"
39,1,1,"Ой, баш болзын шак ол коҥыр атка. Божонгон кийнинде ойто тудуп алатаны — аар-чак!","ой, баш болзын шак ол коҥыр атка. божонгон кийнинде ойто тудуп алатаны — аар-чак!","Ой, упаси боже эту самую каурую лошадь. Если отвяжется, обратно поймать [её] — страшная проблема",Б. Укачин,"Ой, баш болзын шак ол коҥыр атка. Божонгон кийнинде ойто тудуп алатаны — аар-чак! (Б. Укачин) Ой, упаси боже эту самую каурую лошадь. Если отвяжется, обратно поймать [её] — страшная проблема"
42,1,1,"Ого коштой кажызы ла аракы, быштак, аарчы-курут белетеер дежип куучындажып алган","ого коштой кажызы ла аракы, быштак, аарчы-курут белетеер дежип куучындажып алган","Кроме того, договорились о том, что каждый из них приготовит араку, быштак, аарчы и ку- рут",И. Шинжин,"Ого коштой кажызы ла аракы, быштак, аарчы-курут белетеер дежип куучындажып алган (И. Шинжин) Кроме того, договорились о том, что каждый из них приготовит араку, быштак, аарчы и ку- рут"
44,1,1,"Ка- байды дезе мениҥ абаайым, ÿлÿп сööктÿ Кару Мендешевич Сабашкин jазап берген","ка- байды дезе мениҥ абаайым, ÿлÿп сööктÿ кару мендешевич сабашкин jазап берген","А колыбель сделал мой дядя, Кару Мендешевич Сабашкин, из рода улюп",И. Сабашкин,"Ка- байды дезе мениҥ абаайым, ÿлÿп сööктÿ Кару Мендешевич Сабашкин jазап берген (И. Сабашкин) А колыбель сделал мой дядя, Кару Мендешевич Сабашкин, из рода улюп"
45,1,1,"Абагайым кудайзак та болзо, ачызын куурмактарга келген тур- бай","абагайым кудайзак та болзо, ачызын куурмактарга келген тур- бай","Хотя старший брат моего отца и набожный, оказывается, пришёл обма- нуть младшего брата",Ч. Чунижеков,"Абагайым кудайзак та болзо, ачызын куурмактарга келген тур- бай (Ч. Чунижеков) Хотя старший брат моего отца и набожный, оказывается, пришёл обма- нуть младшего брата"
46,2,1,"Сениҥ чечектериҥ кандый кӧп. Кажы, бирÿзин чачыҥа та- гып берейин. Индияныҥ абакайына тÿҥей боло берериҥ!","сениҥ чечектериҥ кандый кӧп. кажы, бирÿзин чачыҥа та- гып берейин. индияныҥ абакайына тÿҥей боло берериҥ!","Твоих цветов как много. Давай, один из них прикреплю к твоим волосам. Станешь похожей на знатную женщину Индии!",Л. Кокышев,"Сениҥ чечектериҥ кандый кӧп. Кажы, бирÿзин чачыҥа та- гып берейин. Индияныҥ абакайына тÿҥей боло берериҥ! (Л. Кокышев) Твоих цветов как много. Давай, один из них прикреплю к твоим волосам. Станешь похожей на знатную женщину Индии!"
47,1,1,"Алтай jepинeҥ ырап, аба-чӧлдӧрдӧ jyyлажып, ӧскӧ калыктардыҥ jадын- jӱрӱмин де кӧрӱп jӱpгeни кирелӱ бе?","алтай jepинeҥ ырап, аба-чӧлдӧрдӧ jyyлажып, ӧскӧ калыктардыҥ jадын- jӱрӱмин де кӧрӱп jӱpгeни кирелӱ бе?","Разве плохо, что, отдалившись от Алтая, воюя в широких степях, видел и жизнь других народов?",Э. Палкин,"Алтай jepинeҥ ырап, аба-чӧлдӧрдӧ jyyлажып, ӧскӧ калыктардыҥ jадын- jӱрӱмин де кӧрӱп jӱpгeни кирелӱ бе? (Э. Палкин) Разве плохо, что, отдалившись от Алтая, воюя в широких степях, видел и жизнь других народов?"
54,1,1,"Кара черӱге барар санааны чек ундыган соондо, Макар оны абра-чанак эдетен јерге экелип, ишке кийдирген","кара черӱге барар санааны чек ундыган соондо, макар оны абра-чанак эдетен јерге экелип, ишке кийдирген","По- сле того как Кара совсем забыл о мысли идти в армию, Макар, приведя его на место, где из- готавливают телеги и сани, устроил на работу",И. Шинжин,"Кара черӱге барар санааны чек ундыган соондо, Макар оны абра-чанак эдетен јерге экелип, ишке кийдирген (И. Шинжин) По- сле того как Кара совсем забыл о мысли идти в армию, Макар, приведя его на место, где из- готавливают телеги и сани, устроил на работу"
56,2,1,"…Ол эл- уктарды каныктырып, кылыжына чике чурап барар эдип абыдайт","…ол эл- уктарды каныктырып, кылыжына чике чурап барар эдип абыдайт","…Он, ожесточая народы, влияет на них так, чтобы они бросались прямо на его саблю",Б. Бедюров,"…Ол эл- уктарды каныктырып, кылыжына чике чурап барар эдип абыдайт (Б. Бедюров) …Он, ожесточая народы, влияет на них так, чтобы они бросались прямо на его саблю"
58,1,1,"Оны сен сöслö jартап-jазап айдып билбезиҥ де, jе бу чындыгыҥ сени ичкери абыдадып jÿткиткен","оны сен сöслö jартап-jазап айдып билбезиҥ де, jе бу чындыгыҥ сени ичкери абыдадып jÿткиткен","Это ты словами объ- яснить даже не умеешь, но эта твоя правда, влияя на тебя, заставила стремиться вперед",Б. Бедюров,"Оны сен сöслö jартап-jазап айдып билбезиҥ де, jе бу чындыгыҥ сени ичкери абыдадып jÿткиткен (Б. Бедюров) Это ты словами объ- яснить даже не умеешь, но эта твоя правда, влияя на тебя, заставила стремиться вперед"
59,1,1,Кÿнбадышта — кöк-тöгÿн абыду,кÿнбадышта — кöк-тöгÿн абыду,На Западе — обманчивое оча- рование,Б. Бедюров,Кÿнбадышта — кöк-тöгÿн абыду (Б. Бедюров) На Западе — обманчивое оча- рование
64,2,1,"Бу тен Борбок-Кара эмес, кандый бир артист эме- зе абызын болбой?!","бу тен борбок-кара эмес, кандый бир артист эме- зе абызын болбой?!","Это даже не Борбок-Кара, а какой-то, наверное, артист или фокусник?!",Б. Укачин,"Бу тен Борбок-Кара эмес, кандый бир артист эме- зе абызын болбой?! (Б. Укачин) Это даже не Борбок-Кара, а какой-то, наверное, артист или фокусник?!"
65,1,1,"jÿс абызын курсак де, улус та кöргöн болзобыс, jе тÿҥей ле…","jÿс абызын курсак де, улус та кöргöн болзобыс, jе тÿҥей ле…","А мы вдвоём, несмотря на то, что прошли муки войны, видели и разные земли, и людей, но всё равно…",Б. Укачин,"jÿс абызын курсак де, улус та кöргöн болзобыс, jе тÿҥей ле… (Б. Укачин) А мы вдвоём, несмотря на то, что прошли муки войны, видели и разные земли, и людей, но всё равно…"
70,2,1,Бу тужында Кан- Капчыкайдыҥ куулгас «абызын-илбизин» калтар ады ÿч кара jылан экелет — бу ÿч öштÿ баатырдыҥ тындары,бу тужында кан- капчыкайдыҥ куулгас абызын-илбизин калтар ады ÿч кара jылан экелет — бу ÿч öштÿ баатырдыҥ тындары,"В это время волшебный, колдовской каурый конь Кан-Капчыкая приносит три чёрных змеи — это души трёх вражеских богатырей",С. Суразаков,"Бу тужында Кан- Капчыкайдыҥ куулгас «абызын-илбизин» калтар ады ÿч кара jылан экелет — бу ÿч öштÿ баатырдыҥ тындары (С. Суразаков) В это время волшебный, колдовской каурый конь Кан-Капчыкая приносит три чёрных змеи — это души трёх вражеских богатырей"
79,2,1,"Автобус сакылтазыныҥ jанынча öдÿп отурза, таштыҥ ÿстинде кем де таҥкылап отурды","автобус сакылтазыныҥ jанынча öдÿп отурза, таштыҥ ÿстинде кем де таҥкылап отурды","Когда он проходил мимо авто- бусной остановки, на камне кто-то сидел, по- куривая",И. Шинжин,"Автобус сакылтазыныҥ jанынча öдÿп отурза, таштыҥ ÿстинде кем де таҥкылап отурды (И. Шинжин) Когда он проходил мимо авто- бусной остановки, на камне кто-то сидел, по- куривая"
88,1,1,Ол Ай- дар уулыныҥ айлы автостанциядаҥ ыра- ак jоктозын билер болгон,ол ай- дар уулыныҥ айлы автостанциядаҥ ыра- ак jоктозын билер болгон,-,Н. Бельчекова,Ол Ай- дар уулыныҥ айлы автостанциядаҥ ыра- ак jоктозын билер болгон (Н. Бельчекова) -
114,2,1,[Байрыш] кӧрӱкти согорго агаш-таш бедреди,[байрыш] кӧрӱкти согорго агаш-таш бедреди,"Что- бы ударить барсука, [Байрыш] искала палки и камни",Д. Кыдыев,"[Байрыш] кӧрӱкти согорго агаш-таш бедреди (Д. Кыдыев) Что- бы ударить барсука, [Байрыш] искала палки и камни"
125,1,1,"Тайгадагы агыйнок куш чылап каткырып туратан албын-jилбин неме- лерге кожулып алала, арал сайын конуп jÿрер тууныҥ-сууныҥ jелбизи боло бердиҥ бе?","тайгадагы агыйнок куш чылап каткырып туратан албын-jилбин неме- лерге кожулып алала, арал сайын конуп jÿрер тууныҥ-сууныҥ jелбизи боло бердиҥ бе?","Присоединившись к верт- лявым типам, смеющимся, словно птица ку- ропатка в тайге, ты стал горным и речным чудищем, ночующим по лесным чащам?",Ч. Чунижеков,"Тайгадагы агыйнок куш чылап каткырып туратан албын-jилбин неме- лерге кожулып алала, арал сайын конуп jÿрер тууныҥ-сууныҥ jелбизи боло бердиҥ бе? (Ч. Чунижеков) Присоединившись к верт- лявым типам, смеющимся, словно птица ку- ропатка в тайге, ты стал горным и речным чудищем, ночующим по лесным чащам?"
135,1,1,"Андый кижини jаҥыс ла агырттырар, а мылтык от албай тур- ганда","андый кижини jаҥыс ла агырттырар, а мылтык от албай тур- ганда","Такого человека только заставлять загонять дичь, потому что ружьё даёт осечку",К. Телесов,"Андый кижини jаҥыс ла агырттырар, а мылтык от албай тур- ганда (К. Телесов) Такого человека только заставлять загонять дичь, потому что ружьё даёт осечку"
142,2,1,"«О, кöдöк! Тöрт килограммнаҥ беди?» — деп, Болчой кöзин jумбай ла «Мени канай ий- ереер» деген чырай-башту анаар ла агы- дып, агыдып турды","о, кöдöк! тöрт килограммнаҥ беди? — деп, болчой кöзин jумбай ла мени канай ий- ереер деген чырай-башту анаар ла агы- дып, агыдып турды","«О, бог ты мой! По четыре килограмма ведь?» — Бол- чой, даже не закрывая глаз, с видом: «Что вы мне можете сделать?», вовсю врал и врал",К. Телесов,"«О, кöдöк! Тöрт килограммнаҥ беди?» — деп, Болчой кöзин jумбай ла «Мени канай ий- ереер» деген чырай-башту анаар ла агы- дып, агыдып турды (К. Телесов) «О, бог ты мой! По четыре килограмма ведь?» — Бол- чой, даже не закрывая глаз, с видом: «Что вы мне можете сделать?», вовсю врал и врал"
144,1,1,Бийик туулардыҥ jиктерин тöмöн тоозы jок суулар агыжып тÿшкилейт,бийик туулардыҥ jиктерин тöмöн тоозы jок суулар агыжып тÿшкилейт,Вниз по ущельям высоких гор текут бесчисленные реки,Б. Укачин,Бийик туулардыҥ jиктерин тöмöн тоозы jок суулар агыжып тÿшкилейт (Б. Укачин) Вниз по ущельям высоких гор текут бесчисленные реки
148,1,1,"Ада- анга јӱpep ийнизи јoк, Карый берген ӱй кижилӱ Кӧгӱтей ӧбӧгӧн јypтап јaтты","ада- анга јӱpep ийнизи јoк, карый берген ӱй кижилӱ кӧгӱтей ӧбӧгӧн јypтап јaтты","Без младшего брата, который может взять на защиту, с постаревшей женой жил старик Кё- гютей",АБ,"Ада- анга јӱpep ийнизи јoк, Карый берген ӱй кижилӱ Кӧгӱтей ӧбӧгӧн јypтап јaтты (АБ) Без младшего брата, который может взять на защиту, с постаревшей женой жил старик Кё- гютей"
149,1,1,"«Эне» — деп, Мундузак унчукты. Слер Сÿдердиҥ адаанын алып турадаар","эне — деп, мундузак унчукты. слер сÿдердиҥ адаанын алып турадаар","«Мама», — произнёс Мундузак. Вы защищаете Сюдер",Ч. Чу- нижеков,"«Эне» — деп, Мундузак унчукты. Слер Сÿдердиҥ адаанын алып турадаар (Ч. Чу- нижеков) «Мама», — произнёс Мундузак. Вы защищаете Сюдер"
154,1,1,Jаҥы кижи таайген бе бу? Айса не болеерген? — Адазы кöргöн оны!,jаҥы кижи таайген бе бу? айса не болеерген? — адазы кöргöн оны!,Нового мужика (букв. но- вого человека) что ли нашла? Или что-то слу- чилось? — Чёрт её знает!,А. Адаров,Jаҥы кижи таайген бе бу? Айса не болеерген? — Адазы кöргöн оны! (А. Адаров) Нового мужика (букв. но- вого человека) что ли нашла? Или что-то слу- чилось? — Чёрт её знает!
157,3,1,Jакшы ÿредÿчи — ол кижиниҥ ада-энезинеҥ адак эмес,jакшы ÿредÿчи — ол кижиниҥ ада-энезинеҥ адак эмес,Хороший учитель — он не хуже твоих родителей,Б. Укачин,Jакшы ÿредÿчи — ол кижиниҥ ада-энезинеҥ адак эмес (Б. Укачин) Хороший учитель — он не хуже твоих родителей
158,1,1,"Бÿгÿн јылдыҥ адакы кÿни, алымыҥды тöлö!","бÿгÿн јылдыҥ адакы кÿни, алымыҥды тöлö!","Сегодня последний день года, плати свои долги!",Т. Торбоков,"Бÿгÿн јылдыҥ адакы кÿни, алымыҥды тöлö! (Т. Торбоков) Сегодня последний день года, плати свои долги!"
165,1,1,"Олор, адалу-кысту, бой- бойлорын сöс jоктоҥ оҥдожып, аайлажып jÿретен","олор, адалу-кысту, бой- бойлорын сöс jоктоҥ оҥдожып, аайлажып jÿретен","Они, отец и дочь, по- нимали друг друга без слов",Н. Бельчекова,"Олор, адалу-кысту, бой- бойлорын сöс jоктоҥ оҥдожып, аайлажып jÿретен (Н. Бельчекова) Они, отец и дочь, по- нимали друг друга без слов"
169,1,1,Бойло- рына адалык-тöрöлин тöзöп алгалак эми- гранттар чындаптаҥ бис эмейис,бойло- рына адалык-тöрöлин тöзöп алгалак эми- гранттар чындаптаҥ бис эмейис,"Эмигранты, которые не создали своего отечества, в действительности мы ведь",Б. Бедю- ров,"Бойло- рына адалык-тöрöлин тöзöп алгалак эми- гранттар чындаптаҥ бис эмейис (Б. Бедю- ров) Эмигранты, которые не создали своего отечества, в действительности мы ведь"
170,1,1,Jе кöчкӱндердиҥ шыразын адам кöрзин деердеҥ башка,jе кöчкӱндердиҥ шыразын адам кöрзин деердеҥ башка,"Но, можно сказать, боже упаси от мучений кочевников",Д. Каинчин,"Jе кöчкӱндердиҥ шыразын адам кöрзин деердеҥ башка (Д. Каинчин) Но, можно сказать, боже упаси от мучений кочевников"
171,2,1,"Кижи бойыныҥ адын jаҥыс ла аданып jÿрген эмес, jе онойдо ок ат jÿрÿмде учурлу ла jöмöлтöлÿ неме","кижи бойыныҥ адын jаҥыс ла аданып jÿрген эмес, jе онойдо ок ат jÿрÿмде учурлу ла jöмöлтöлÿ неме","Человек не только носит своё имя, но в то же время имя в его жизни — нечто значимое и содействующее",АД,"Кижи бойыныҥ адын jаҥыс ла аданып jÿрген эмес, jе онойдо ок ат jÿрÿмде учурлу ла jöмöлтöлÿ неме (АД) Человек не только носит своё имя, но в то же время имя в его жизни — нечто значимое и содействующее"
